,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-2.5601836200792962,-2.6165584391466465,-2.6713611619826096,-2.7244814285085446,-2.775816858294658,-2.8252723520299954,-2.872759505952872,-2.918196120692314,-2.961505789063211,-3.0026175499488845,-3.041465597564772,-3.077989037192138,-3.112131679960836,-3.143841870496486,-3.1730723422743963,-3.1997800963763314,-3.223926300058806,-3.2454762021371817,-3.264399062690864,-3.280668095017619,-3.2942604181251793,-3.3051570183564496,-3.313342719012194,-3.3188061570693517,-3.3215397663021373,-3.3215397663021355,-3.3188061570693512,-3.313342719012184,-3.3051570183564496,-3.2942604181251793,-3.2806680950176204,-3.264399062690865,-3.245476202137186,-3.223926300058806,-3.199780096376331,-3.1730723422743963,-3.143841870496488,-3.112131679960837,-3.0779890371921446,-3.041465597564772,-3.002617549948886,-2.9615057890632115,-2.918196120692314,-2.8727595059528728,-2.8252723520299954,-2.7758168582946623,-2.724481428508533,-2.671361161982609,-2.6165584391466474,-2.5601836200792962
1,-2.5601836200792936,-2.616226858473599,-2.671027282335946,-2.7241452002857356,-2.7754782552758672,-2.824931369449496,-2.872416158714016,-2.9178504417167708,-2.9611578277637665,-3.002267370814764,-3.041113278848547,-3.077634669687735,-3.111775365862751,-3.1434837223311254,-3.1727124818950356,-3.1994186540140666,-3.2235634134225575,-3.245112015556137,-3.264033726293848,-3.280301763943927,-3.2938932517620083,-3.3047891795985005,-3.312974373539259,-3.3184374726379806,-3.3211709120476933,-3.3211709120476924,-3.318437472637979,-3.3129743735392516,-3.3047891795985005,-3.293893251762009,-3.2803017639439283,-3.264033726293849,-3.2451120155561406,-3.2235634134225575,-3.199418654014084,-3.1727124818950356,-3.1434837223311245,-3.111775365862753,-3.0776346696877335,-3.0411132788485467,-3.002267370814763,-2.961157827763767,-2.9178504417167708,-2.872416158714017,-2.824931369449496,-2.775478255275869,-2.7241452002857294,-2.671027282335947,-2.616226858473602,-2.5601836200792936
2,-2.559854263315615,-2.615674295220761,-2.6704708857317554,-2.723584887733704,-2.7749139831535654,-2.8243631298930736,-2.87184397664245,-2.9172743720799392,-2.960577952996637,-3.0016837984793083,-3.0405261394450194,-3.0770441146178666,-3.1111815655283737,-3.1428868643529837,-3.172112769437745,-3.198816304204433,-3.2229586558494323,-3.24450509084146,-3.2634248847248766,-3.2796912641580245,-3.293281359475798,-3.304176166373981,-3.3123605155798335,-3.3178230496080503,-3.3205562059094644,-3.3205562059094715,-3.317823049608049,-3.3123605155798432,-3.304176166373981,-3.2932813594758015,-3.2796912641580223,-3.263424884724878,-3.2445050908414625,-3.2229586558494323,-3.1988163042044477,-3.172112769437745,-3.142886864352983,-3.1111815655283745,-3.0770441146178675,-3.040526139445023,-3.0016837984793012,-2.960577952996631,-2.9172743720799392,-2.8718439766424533,-2.8243631298930736,-2.7749139831535645,-2.7235848877337134,-2.6704708857317514,-2.6156742952207526,-2.559854263315615
3,-2.559854263315614,-2.6149008562079388,-2.669692076394467,-2.7228005925933276,-2.7741241413011144,-2.823567730485397,-2.87104305473436,-2.9164680047702487,-2.9597662558631623,-3.000866922276792,-3.0397042670404737,-3.076217458138713,-3.110350363700356,-3.142051380006402,-3.1712732871624003,-3.197973128135268,-3.222112107566453,-3.2436555073693216,-3.2625726166181357,-3.2788366736599808,-3.292424818739551,-3.303318055735097,-3.3115012218710826,-3.3169629645069105,-3.319695724309983,-3.3196957243099834,-3.3169629645069123,-3.311501221871079,-3.303318055735097,-3.292424818739552,-3.2788366736599834,-3.2625726166181352,-3.2436555073693176,-3.222112107566453,-3.1979731281352475,-3.1712732871624003,-3.1420513800064063,-3.1103503637003573,-3.0762174581387223,-3.0397042670404737,-3.000866922276793,-2.9597662558631597,-2.9164680047702487,-2.8710430547343595,-2.823567730485397,-2.7741241413011135,-2.7228005925933267,-2.669692076394468,-2.61490085620794,-2.559854263315614
4,-2.5593054083771687,-2.613906691015899,-2.6686910002664774,-2.721792457325566,-2.7731088688609895,-2.822545307217062,-2.870013525997095,-2.915431469981207,-2.95872286391214,-2.999816867279572,-3.0386477843977424,-3.0751548208688604,-3.10928187901645,-3.1409773861097836,-3.1701941502275655,-3.1968892394628883,-3.2210238808836276,-3.242563376257471,-3.2614770320516615,-3.2777381016393234,-3.291323738004226,-3.3022149555432163,-3.31039659983286,-3.315857324460468,-3.318589574228264,-3.3185895742282607,-3.315857324460468,-3.310396599832854,-3.3022149555432163,-3.291323738004226,-3.2777381016393243,-3.261477032051662,-3.242563376257467,-3.2210238808836276,-3.196889239462905,-3.1701941502275655,-3.140977386109787,-3.10928187901645,-3.0751548208688613,-3.038647784397741,-2.999816867279573,-2.9587228639121386,-2.915431469981207,-2.8700135259970967,-2.822545307217062,-2.7731088688609877,-2.7217924573255683,-2.6686910002664765,-2.6139066910158997,-2.5593054083771687
5,-2.559305408377165,-2.6126919920193954,-2.667467845036394,-2.720560665135386,-2.7718683447646475,-2.82129603496081,-2.8687555614620512,-2.9141649351211094,-2.9574479411467185,-2.9985337943024386,-3.037356849358274,-3.0738563578892477,-3.1079762640075406,-3.139665032851903,-3.168875506685313,-3.1955647843057218,-3.219694120186131,-3.2412288403563547,-3.2601382725375627,-3.27639568846443,-3.2899782566875286,-3.3008670044571,-3.309046787555673,-3.314506267180818,-3.317237893187339,-3.317237893187341,-3.3145062671808168,-3.309046787555678,-3.3008670044571,-3.2899782566875286,-3.276395688464431,-3.2601382725375627,-3.241228840356356,-3.219694120186131,-3.1955647843057102,-3.168875506685313,-3.1396650328519082,-3.1079762640075383,-3.0738563578892433,-3.0373568493582677,-2.998533794302439,-2.957447941146711,-2.9141649351211094,-2.868755561462058,-2.82129603496081,-2.771868344764644,-2.7205606651353937,-2.66746784503639,-2.6126919920193963,-2.559305408377165
6,-2.5585371647845876,-2.6112569944298865,-2.6660228401755024,-2.719105440002536,-2.7704027877580333,-2.8198201274923322,-2.867269370201147,-2.912668604825623,-2.955941688033398,-2.997017899908329,-3.035831654844821,-3.072322258743172,-3.10643370509519,-3.138114503787215,-3.167317537474572,-3.193999941235536,-3.2181230019243316,-3.2396520742377186,-3.258556511009432,-3.274809605668952,-3.28838854515948,-3.299274371917826,-3.307451953785059,-3.3129099609503307,-3.3156408492381746,-3.3156408492381737,-3.312909960950331,-3.3074519537850606,-3.299274371917826,-3.2883885451594805,-3.274809605668955,-3.2585565110094317,-3.239652074237708,-3.2181230019243316,-3.193999941235527,-3.167317537474572,-3.138114503787217,-3.1064337050951925,-3.0723222587431653,-3.0358316548448214,-2.997017899908329,-2.9559416880333975,-2.912668604825623,-2.867269370201147,-2.8198201274923322,-2.7704027877580373,-2.7191054400025325,-2.666022840175502,-2.611256994429888,-2.5585371647845876
7,-2.5585371647845854,-2.609601976347909,-2.6643562569825394,-2.7174270467192985,-2.768712456433128,-2.818117837515934,-2.8655551993471695,-2.910942720973256,-2.9542043415130808,-2.995269416415342,-3.0340724288648326,-3.0705527474363095,-3.1046544225886596,-3.1363260158302086,-3.1655204564129127,-3.192194921267357,-3.2163107346014637,-3.237833284180691,-3.2567319518069593,-3.2729800559352054,-3.2865548047247977,-3.2974372581303726,-3.305612297902542,-3.3110686046022457,-3.313798640940046,-3.313798640940046,-3.3110686046022457,-3.3056122979025364,-3.2974372581303726,-3.2865548047247994,-3.2729800559352062,-3.2567319518069584,-3.237833284180695,-3.2163107346014637,-3.192194921267363,-3.1655204564129127,-3.136326015830208,-3.1046544225886623,-3.070552747436304,-3.034072428864833,-2.995269416415345,-2.95420434151308,-2.910942720973256,-2.865555199347169,-2.818117837515934,-2.76871245643314,-2.717427046719293,-2.66435625698254,-2.609601976347909,-2.5585371647845854
8,-2.557549685905035,-2.607727258825282,-2.6624684086368418,-2.715525790935432,-2.7667976492652246,-2.8161894566949823,-2.8636133341179186,-2.9089875627038198,-2.9522361750142663,-2.9932886119051707,-3.0320794345145075,-3.0685480824368527,-3.102638670681475,-3.134299819248701,-3.163484510187093,-3.190149967847256,-3.2142575587593267,-3.2357727081554017,-3.254664830657815,-3.270907273074573,-3.2844772676020897,-3.2953558940418364,-3.3035280499031736,-3.308982427497685,-3.31171149733734,-3.3117114973373436,-3.3089824274976847,-3.3035280499031785,-3.2953558940418364,-3.284477267602092,-3.270907273074573,-3.254664830657819,-3.235772708155408,-3.2142575587593267,-3.190149967847274,-3.163484510187093,-3.1342998192486995,-3.1026386706814666,-3.0685480824368705,-3.032079434514504,-2.9932886119051703,-2.9522361750142636,-2.9089875627038198,-2.863613334117926,-2.8161894566949823,-2.766797649265221,-2.7155257909354273,-2.6624684086368418,-2.607727258825285,-2.557549685905035
9,-2.557549685905034,-2.605633205937331,-2.6603596502600504,-2.7134020192102963,-2.764658704656304,-2.8140353156873066,-2.861444097844401,-2.9068034464398558,-2.950037498468433,-2.9910757902329714,-3.029852969983636,-3.0663085566758266,-3.1003867374475487,-3.132036197656248,-3.161209978342067,-3.187865356838481,-3.2119637469616324,-3.2334706158040576,-3.2523554146567646,-3.268591522004924,-3.282156196899865,-3.2930305413163548,-3.3011994703696645,-3.3066516894992017,-3.309379677932818,-3.309379677932818,-3.3066516894992013,-3.301199470369658,-3.2930305413163548,-3.2821561968998663,-3.268591522004926,-3.2523554146567655,-3.2334706158040634,-3.2119637469616324,-3.187865356838468,-3.161209978342067,-3.13203619765625,-3.1003867374475496,-3.066308556675823,-3.029852969983637,-2.9910757902329714,-2.950037498468431,-2.9068034464398558,-2.861444097844402,-2.8140353156873066,-2.764658704656304,-2.71340201921029,-2.6603596502600504,-2.6056332059373286,-2.557549685905034
