(1.64563327745+3.69224562541e-17j) (1.34103986503+1.60145820926e-15j) (1.01931087541-1.19447459966e-15j) (0.684527182977-1.82008342802e-15j) (0.340952961506-4.61350534621e-16j) (-0.00700094333317-1.2879731512e-15j) (-0.354842456119-1.18185225578e-15j) (-0.698079384035+1.3970914998e-16j) (-1.0323014049+7.40985853817e-16j) (-1.35324773577-1.95846914184e-15j) (-1.65684635973-2.09809278466e-15j) (-1.93921218985-1.4869867937e-15j) (-2.19659408271+9.74987428174e-16j) (-2.42526852342+8.74029882825e-16j) (-2.62139681021-3.73424237083e-16j) (-2.78089342013+6.72619654089e-16j) (-2.89938556655-1.46777998499e-15j) (-2.9723557858+1.61560563634e-15j) (-2.99552662054-1.10090496737e-15j) (-2.96546140099-1.91687804357e-15j) (-2.88024325245+2.43928488718e-15j) (-2.7400129436+2.17971166964e-16j) (-2.54715543818-1.66377653698e-15j) (-2.30604530848+9.54622274643e-16j) (-2.02244494235-1.3208367299e-16j) (-1.70279809209-2.51407600649e-16j) (-1.35368544835-2.70304581535e-17j) (-0.981592086214-1.15867928607e-15j) (-0.592951534656-5.4110540164e-16j) (-0.19429342477-2.24877267947e-16j) (0.207687311467-7.38763148662e-16j) (0.606209070176+3.05511763152e-15j) (0.994555745251+8.29885126952e-17j) (1.36616320641-1.44919945992e-15j) (1.71456337606+3.4062809741e-16j) (2.03325088037+7.83181317439e-16j) (2.3156490785+1.97235182715e-15j) (2.55534445083+2.81591005321e-16j) (2.74662382283-1.89328484821e-15j) (2.88516792071+3.09122357796e-17j) (2.96864050609+1.3520916332e-15j) (2.9969358524-6.07245462994e-16j) (2.97199258854+2.09585595418e-15j) (2.89726185765+1.26821028626e-15j) (2.77703589518+2.33902165216e-16j) (2.61585267534+1.08670790556e-15j) (2.41811269696-5.41246914486e-16j) (2.18793425882-2.34667050508e-15j) (1.92918979926-2.72227515415e-15j) (1.64563327745-1.86852069395e-16j)
(-8.63750637637-6.57368605928e-16j) (-8.62490091812+2.13508671674e-15j) (-8.46570165865-1.9447039123e-15j) (-8.15745067547+7.78679913397e-16j) (-7.70102048424-4.61306945165e-16j) (-7.10125062393+1.31841322731e-15j) (-6.36723481473-5.24754267922e-16j) (-5.51211625381+2.27320556106e-16j) (-4.55241689062-1.86302117833e-15j) (-3.50709188876+9.21192585872e-16j) (-2.39657385969+2.01284686602e-15j) (-1.24202153607-7.2448178768e-16j) (-0.0648596541118-6.38601295312e-16j) (1.11342886929-6.20656747298e-16j) (2.27136949191-1.04868448691e-15j) (3.38755449363+7.74520516399e-17j) (4.44082584491-1.94995727906e-15j) (5.41069556331+1.16175303404e-15j) (6.27805368247-8.22615224588e-16j) (7.02609678402-7.45917081796e-16j) (7.64128001689-8.67595720692e-16j) (8.1140307856-1.64670913076e-15j) (8.43901712048+8.33600195852e-16j) (8.61491940667-9.23787869005e-16j) (8.64382745054-7.90039283875e-16j) (8.53048597004+3.18088163941e-15j) (8.28160157133+1.12028373775e-15j) (7.9053310534+2.10889636056e-15j) (7.41096044308+2.82612454895e-15j) (6.80871392736+1.79104131902e-15j) (6.10961969556+1.31391246578e-15j) (5.32538585763-2.78874478231e-15j) (4.46827217825-1.69296209587e-15j) (3.55096259552-6.70786170587e-16j) (2.58644778094+2.71452546738e-16j) (1.5879239677+9.98533144604e-16j) (0.568710331809+7.7810244531e-17j) (-0.457815911325-1.20739160257e-15j) (-1.47827044662+5.4136040229e-16j) (-2.47930533519+5.57563349646e-16j) (-3.44765311494-1.42137053056e-15j) (-4.37017931971+2.22448797132e-16j) (-5.23394947863+5.94394805243e-17j) (-6.02631438388+1.0854922854e-15j) (-6.73501456191+6.66418943317e-16j) (-7.3483006334+2.49604862107e-16j) (-7.85506175911+2.22094665944e-16j) (-8.24495561043-6.68509190802e-16j) (-8.50854869261+1.32321704478e-15j) (-8.63750637637-1.03030491365e-15j)
(0.314440847752+8.0801277754e-16j) (0.32716179807+2.36409264042e-15j) (0.325037194811-7.37058504497e-16j) (0.310200088903-1.0746583658e-15j) (0.285193745177-9.68055713168e-17j) (0.252416740368+1.82921927691e-15j) (0.213795329519+3.08395284638e-15j) (0.170792909474+1.48814686775e-15j) (0.124709171625-9.06424026996e-17j) (0.0770927665122-1.55072090381e-15j) (0.0300522194936-2.43696168105e-15j) (-0.0136911423013+1.49261166769e-15j) (-0.051047706001+6.32807652386e-16j) (-0.0790256301381+1.54814986898e-15j) (-0.095273503579-1.1695389555e-15j) (-0.0985466447385+1.14162970427e-16j) (-0.0889855541257+3.74844527392e-16j) (-0.0681609019132-3.27464475403e-15j) (-0.038902488498-2.56150887534e-15j) (-0.00496923462295-1.00655291048e-15j) (0.029373727042-1.0802142715e-15j) (0.059817596705+9.05128231058e-16j) (0.0824745881124+5.1594246247e-16j) (0.0943097351424-1.21568423599e-15j) (0.0934918728346-1.79308846587e-15j) (0.0796009037889+2.04616723893e-15j) (0.0536310056651+5.70524019224e-16j) (0.0177615767943+1.22175947227e-15j) (-0.0250738547837+1.90954654138e-16j) (-0.0717238041552+2.10674643616e-15j) (-0.119314378827-1.38469242669e-15j) (-0.165553904108+1.20966961033e-15j) (-0.208751326575+1.27162028325e-15j) (-0.247559786236+2.43492991814e-15j) (-0.280576925029-5.73853843266e-16j) (-0.306009379498+9.3883810229e-16j) (-0.321593218801-8.85791778143e-16j) (-0.324850654524-9.34339593678e-16j) (-0.313606318598-2.61281019399e-17j) (-0.286566631385-1.4884959295e-15j) (-0.243750726759-1.61050605957e-15j) (-0.186653187214+8.66759855764e-17j) (-0.118145264198+5.17971929614e-16j) (-0.0421945846239+1.03977909463e-15j) (0.0365198639039-1.71921937944e-16j) (0.113051388246-7.5597481394e-16j) (0.182652568704-1.78778141331e-15j) (0.241226262733+3.5226744502e-16j) (0.285722849856-7.27803748467e-16j) (0.314440847752-9.50154954468e-17j)
(0.241572883246-3.57222521714e-15j) (0.0995590550998-2.16613044507e-15j) (-0.0404955993674-1.53419881633e-16j) (-0.181647685241-2.77146695991e-16j) (-0.327008235069+1.97393750782e-15j) (-0.479835981748-4.72835596996e-16j) (-0.643448026693+9.25839043521e-16j) (-0.820937864288+1.54845038904e-16j) (-1.01477833567-7.55932396771e-16j) (-1.22638343252+7.9125498696e-16j) (-1.45564307089+3.02077247547e-16j) (-1.70041453893+3.14371290849e-15j) (-1.95599726599-1.06195195388e-15j) (-2.21469829063+2.42549324126e-15j) (-2.4656427225-5.14056101543e-16j) (-2.69495802814+8.65446931434e-16j) (-2.88638458947+1.88777921347e-15j) (-3.02228980678-2.51157758301e-15j) (-3.08502330594+1.61273070017e-15j) (-3.05853841667-3.31419943542e-16j) (-2.93018331208+5.82166489929e-16j) (-2.69250584977-1.79034607907e-15j) (-2.34483078936-6.97748086334e-16j) (-1.89430821427-3.08343989744e-15j) (-1.35615449539-2.61203276123e-15j) (-0.752929310949+1.97457032518e-15j) (-0.112874426647-9.12056414751e-16j) (0.532486580117+2.10246050913e-15j) (1.15117248294+1.16122719328e-15j) (1.71362471163-2.68102367298e-15j) (2.19527091345+6.41922669129e-16j) (2.57843710671+8.44818775053e-16j) (2.85336951155-2.32252786232e-15j) (3.01828489721+3.0879221763e-16j) (3.07855322023+1.36558431809e-15j) (3.04526214305+1.00973936952e-15j) (2.9334665867+2.0772396909e-16j) (2.76038677155+1.22165424281e-15j) (2.54373365429-2.09215667887e-15j) (2.30026960783-4.50681127491e-16j) (2.04468104327+7.83086977581e-16j) (1.78883063144+2.7312954175e-15j) (1.54143086683-1.67548714967e-15j) (1.3081164731+2.45767185175e-15j) (1.09181120833+1.5458626014e-15j) (0.89323625276+2.96796922167e-15j) (0.711430142213-1.57613659332e-15j) (0.54422646538+7.26659767237e-16j) (0.388698386076-1.04876767266e-15j) (0.241572883246-1.95135465407e-15j)
(-26.2716803293+1.2055732962e-15j) (-24.9385873684+1.73191050404e-15j) (-23.0885591153+5.27076504886e-16j) (-20.7350995806-9.60102778003e-16j) (-17.9074400042+5.69083832206e-17j) (-14.6513222293+1.50087994404e-16j) (-11.029677321-1.89854869067e-16j) (-7.12267633916-8.44252117238e-16j) (-3.02618975942-1.22866557211e-15j) (1.1521532768+1.25364966394e-15j) (5.29927441529-1.02648412125e-16j) (9.30420568201-7.90738903365e-16j) (13.0651487731+1.6680081166e-15j) (16.4945423345-1.48279918765e-15j) (19.5216140429-6.08103378963e-16j) (22.0929227125+3.18676357392e-16j) (24.1718734001+2.1198130405e-15j) (25.7379687265+1.9459843769e-15j) (26.7859794063+7.51896258138e-16j) (27.3247664733+1.70343746475e-15j) (27.3754387263-3.54194269881e-17j) (26.9688047676+1.97127707325e-15j) (26.1424075674-7.63770791017e-16j) (24.9375895643+1.28541841628e-15j) (23.396983332-4.36781312221e-17j) (21.5626463772+9.88355040116e-16j) (19.4748732937+6.45876099103e-16j) (17.1715924641-6.03571688976e-16j) (14.6882005582+2.82896144684e-15j) (12.0576874922+2.27395743418e-16j) (9.31093161905+1.46531702464e-15j) (6.47708002251+2.33887058128e-15j) (3.58396093398+1.21835327334e-15j) (0.658500229478-1.7422453851e-15j) (-2.27286876311+2.47964378977e-16j) (-5.18380223082-3.36323793302e-15j) (-8.04764431528-8.37767080507e-16j) (-10.8370207866+4.11605636455e-17j) (-13.5234250569-3.97141705666e-15j) (-16.076801827-4.56289838518e-15j) (-18.465147832-1.2015174976e-15j) (-20.654170594+1.22101567274e-15j) (-22.6070752304-4.11372375313e-17j) (-24.2845839823+1.75846521332e-15j) (-25.6453255967+2.08261429911e-15j) (-26.6467462764+6.8823340155e-16j) (-27.246666777-1.08771812581e-15j) (-27.4055172183-8.10576324482e-16j) (-27.089117658-5.43991695689e-16j) (-26.2716803293+1.03223003544e-16j)
(26.2716803293+2.00492971857e-15j) (27.089117658-1.81715387863e-15j) (27.4055172183-9.30333903586e-16j) (27.246666777-1.06571356931e-15j) (26.6467462764+8.88498215796e-16j) (25.6453255967-1.55202180852e-15j) (24.2845839823+2.15403460689e-15j) (22.6070752304-4.76485029075e-16j) (20.654170594-7.31366891353e-16j) (18.465147832+7.40500255784e-16j) (16.076801827+7.45201925714e-16j) (13.5234250569-2.94474883371e-15j) (10.8370207866+2.58946549665e-15j) (8.04764431528+2.53512623541e-15j) (5.18380223082+2.30966700655e-15j) (2.27286876311-8.41704736487e-16j) (-0.658500229478-1.61936383568e-16j) (-3.58396093398+1.64371238933e-15j) (-6.47708002251+3.38747460015e-15j) (-9.31093161905-2.65606175036e-15j) (-12.0576874922-1.06530874703e-15j) (-14.6882005582-2.95430610014e-17j) (-17.1715924641+4.4247089708e-15j) (-19.4748732936-4.74616933043e-15j) (-21.5626463772-2.49028310213e-15j) (-23.396983332-2.72142675667e-16j) (-24.9375895643+4.70725144112e-16j) (-26.1424075674+1.49573186625e-15j) (-26.9688047676+1.02255873381e-15j) (-27.3754387263-1.77060836963e-16j) (-27.3247664733+3.10581321404e-15j) (-26.7859794063+5.76032482138e-16j) (-25.7379687265+1.64815177755e-15j) (-24.1718734001+5.74640538502e-16j) (-22.0929227125+2.90996561231e-16j) (-19.5216140429-3.16930602954e-16j) (-16.4945423345-9.47105722114e-16j) (-13.0651487731-2.33787766088e-15j) (-9.30420568201-1.00266876978e-15j) (-5.29927441529-3.63894139206e-16j) (-1.1521532768+8.42165404375e-16j) (3.02618975942+3.81547814628e-15j) (7.12267633916+2.56440754718e-15j) (11.029677321+3.74242167146e-16j) (14.6513222293+4.27596273089e-16j) (17.9074400042+9.51118045179e-16j) (20.7350995806+2.01456057851e-15j) (23.0885591153+2.47490234653e-15j) (24.9385873684-2.81096088824e-16j) (26.2716803293+1.60277184036e-15j)
(-0.241572883246-4.34599738656e-16j) (-0.388698386076-3.8319262432e-15j) (-0.544226465379-1.28869236931e-15j) (-0.711430142212-1.23723223299e-15j) (-0.893236252759+1.13490471289e-15j) (-1.09181120833-7.70152475204e-16j) (-1.3081164731+2.24290766724e-15j) (-1.54143086683-3.68356984523e-15j) (-1.78883063144+3.79457507287e-16j) (-2.04468104327+8.56456858902e-16j) (-2.30026960783+3.74283176408e-16j) (-2.54373365429-5.01767310609e-16j) (-2.76038677155-7.15886804922e-16j) (-2.9334665867+4.37392195035e-16j) (-3.04526214305-3.08157359356e-15j) (-3.07855322023-5.29597881204e-16j) (-3.01828489721+1.93258200184e-15j) (-2.85336951155-1.69797013211e-15j) (-2.57843710671+3.82353865655e-17j) (-2.19527091345+8.70047658298e-16j) (-1.71362471163+4.60058098379e-16j) (-1.15117248294-9.12619794238e-16j) (-0.532486580117+2.93176136265e-15j) (0.112874426647+2.8068463651e-15j) (0.752929310949+6.91063511816e-16j) (1.35615449539+2.70141113702e-16j) (1.89430821427-4.85096934597e-16j) (2.34483078936+1.98648950355e-15j) (2.69250584977+4.0521707931e-16j) (2.93018331208-7.5205540076e-16j) (3.05853841667-1.4985265985e-15j) (3.08502330594-2.0309829978e-15j) (3.02228980678+4.34717834542e-16j) (2.88638458947-1.39919905003e-15j) (2.69495802814-1.17768840335e-15j) (2.4656427225+6.10291931373e-17j) (2.21469829063+2.84813650145e-16j) (1.95599726599+2.59786937844e-16j) (1.70041453893-1.22429336922e-16j) (1.45564307089-6.60390440534e-16j) (1.22638343252+8.48332000771e-17j) (1.01477833567-2.0055413426e-15j) (0.820937864288-4.70198268041e-15j) (0.643448026693+2.76502305249e-15j) (0.479835981749+1.52670997917e-15j) (0.327008235069+2.33393438241e-15j) (0.181647685242+6.56163918464e-16j) (0.0404955993678+1.54235907389e-15j) (-0.0995590550994-1.12763409623e-16j) (-0.241572883246-4.50096009707e-16j)
(-0.314440847752-2.64735475972e-16j) (-0.285722849856+3.67394707554e-16j) (-0.241226262733+2.76188292979e-15j) (-0.182652568703-3.26395917638e-16j) (-0.113051388246+2.10012239224e-15j) (-0.0365198639033+6.13641207213e-16j) (0.0421945846244+1.51938473551e-15j) (0.118145264198+4.29962471302e-17j) (0.186653187214+1.79718177516e-15j) (0.243750726759-8.29300705899e-16j) (0.286566631385-4.97255943717e-16j) (0.313606318598-5.7656655171e-16j) (0.324850654524+1.80329141943e-17j) (0.321593218801+8.69143392109e-16j) (0.306009379498+2.21228371323e-15j) (0.280576925029-1.38189290017e-15j) (0.247559786236+1.08505258154e-15j) (0.208751326575-1.13404015315e-15j) (0.165553904108-5.10634706162e-16j) (0.119314378827+1.22046325121e-15j) (0.071723804155+1.8774722132e-16j) (0.0250738547836+1.69857083587e-15j) (-0.0177615767944+1.49137821522e-15j) (-0.0536310056651+2.54768317214e-15j) (-0.0796009037889-3.46733375175e-16j) (-0.0934918728347+1.71242309316e-15j) (-0.0943097351425-7.37729647538e-16j) (-0.0824745881126+1.41452370681e-15j) (-0.0598175967051+4.85145264412e-16j) (-0.0293737270422+1.11053891252e-16j) (0.00496923462268+1.41759882071e-15j) (0.0389024884977+1.35765938903e-15j) (0.0681609019129+3.34571295553e-16j) (0.0889855541253-1.26426215897e-15j) (0.098546644738-1.81894105986e-15j) (0.0952735035785+4.37731362745e-16j) (0.0790256301376-2.35619815342e-15j) (0.0510477060005-4.48159364533e-15j) (0.0136911423008-2.49858989082e-15j) (-0.030052219494-1.2226302046e-15j) (-0.0770927665126-6.04122730486e-16j) (-0.124709171625+1.30739060579e-15j) (-0.170792909475-5.96383581473e-16j) (-0.213795329519-1.13168088086e-16j) (-0.252416740368-2.49939153324e-15j) (-0.285193745177+6.44400227607e-16j) (-0.310200088902-6.58939260182e-16j) (-0.32503719481+1.10700920638e-15j) (-0.327161798069-7.54609697475e-16j) (-0.314440847752-3.13274170455e-16j)
(8.63750637637-3.84481175861e-16j) (8.50854869261+6.65796430491e-16j) (8.24495561043+3.95882727588e-16j) (7.85506175911+5.68099649232e-17j) (7.3483006334-2.348284941e-15j) (6.73501456191-4.8130668062e-16j) (6.02631438388-6.0455641332e-16j) (5.23394947863-3.54825360045e-16j) (4.37017931971-6.82847990598e-16j) (3.44765311494-8.72249283772e-16j) (2.47930533519-1.68126508883e-15j) (1.47827044662-1.47562507867e-15j) (0.457815911323-1.87256410836e-15j) (-0.56871033181-1.43846630145e-15j) (-1.5879239677+1.7110744141e-16j) (-2.58644778095-7.28063920537e-17j) (-3.55096259552+8.5186508276e-16j) (-4.46827217825-1.83860281419e-15j) (-5.32538585763-9.27837997829e-16j) (-6.10961969556+3.97441250512e-16j) (-6.80871392736+6.87243738351e-16j) (-7.41096044308+1.73979830608e-15j) (-7.9053310534+2.87963190699e-15j) (-8.28160157133+3.02052019625e-15j) (-8.53048597004-1.16570632732e-15j) (-8.64382745054+1.59244513116e-15j) (-8.61491940667+8.45081159077e-16j) (-8.43901712048-1.02118171217e-15j) (-8.1140307856+8.15034362439e-16j) (-7.64128001688+9.57961678117e-16j) (-7.02609678402+7.81437701326e-16j) (-6.27805368246+3.05115646467e-16j) (-5.4106955633-1.20279833066e-16j) (-4.44082584491-1.0994680254e-15j) (-3.38755449363-6.82790228508e-16j) (-2.2713694919-1.61003503711e-16j) (-1.11342886929+1.29855117358e-15j) (0.0648596541136-8.54013208951e-16j) (1.24202153607+1.50691281107e-15j) (2.39657385969+1.25727301933e-15j) (3.50709188876+6.45777443713e-16j) (4.55241689062-5.62380034269e-16j) (5.51211625382+2.13170654088e-16j) (6.36723481473+3.47177136172e-16j) (7.10125062393-8.78257600703e-16j) (7.70102048424-7.66274600182e-16j) (8.15745067547+1.56556732886e-15j) (8.46570165865-4.76052023422e-16j) (8.62490091812-7.75462767419e-16j) (8.63750637637-2.22887308675e-16j)
(-1.64563327745-5.15278316576e-16j) (-1.92918979926+5.6302169843e-16j) (-2.18793425882-1.90636832309e-15j) (-2.41811269696-1.43776664446e-15j) (-2.61585267534-6.71519132779e-16j) (-2.77703589518-2.16426214492e-16j) (-2.89726185765-1.47790823179e-15j) (-2.97199258854+1.19526515675e-15j) (-2.9969358524-7.75909629572e-16j) (-2.96864050609-1.57368743711e-15j) (-2.88516792071-1.81221830018e-15j) (-2.74662382283+1.12897330782e-15j) (-2.55534445083-5.72172821501e-16j) (-2.3156490785+8.54500283579e-17j) (-2.03325088037+1.21786532775e-15j) (-1.71456337606+5.49808374434e-16j) (-1.36616320641+1.48732756592e-16j) (-0.994555745252-1.83612133059e-16j) (-0.606209070177+1.77105398163e-15j) (-0.207687311467+2.47407270513e-15j) (0.19429342477-2.22811424029e-15j) (0.592951534656+1.74464242663e-15j) (0.981592086214+2.62540588086e-15j) (1.35368544835+1.44082587511e-15j) (1.70279809209+6.43599912287e-16j) (2.02244494235-2.69841505631e-15j) (2.30604530848+3.91078759469e-15j) (2.54715543818+2.28028674113e-15j) (2.7400129436+2.00126343519e-16j) (2.88024325245+8.4918776563e-16j) (2.96546140099-1.70372215077e-15j) (2.99552662054+2.29414753069e-15j) (2.9723557858-2.80469715453e-16j) (2.89938556655-1.13514250717e-16j) (2.78089342013+1.86042679027e-15j) (2.62139681021+2.00776642291e-16j) (2.42526852342+6.76533578431e-16j) (2.19659408271-2.76813457754e-15j) (1.93921218985+2.23430995124e-15j) (1.65684635973+2.04066451024e-15j) (1.35324773577+1.68684782969e-15j) (1.0323014049+1.12503495111e-15j) (0.698079384035-6.25685529511e-16j) (0.354842456119-3.27869343848e-15j) (0.00700094333331+1.48200000928e-15j) (-0.340952961506+2.14506735018e-16j) (-0.684527182976+2.8857245045e-15j) (-1.01931087541-2.1855590534e-15j) (-1.34103986503+1.80266396568e-16j) (-1.64563327745-1.01295539839e-15j)
