,0
0,10.207668457756045
1,8.871234713511827
2,8.827021266981454
3,8.881218113511348
4,9.473406407528113
5,8.066287236815072
6,7.399329895456001
7,6.897461803420614
8,6.43053183451765
9,5.831801536138159
10,4.94629284936366
11,3.960488368251863
12,4.008138972298549
13,4.066700084253067
14,2.712733581270563
15,1.9260802921190594
16,1.930826887655254
17,1.6716789291699488
18,1.5706562326720623
19,1.35422009731401
20,1.016653467736625
21,0.8910842422713668
22,0.7825874835727492
23,0.6872459842196744
24,0.6032426243710027
25,0.5293826130389614
26,0.46479314290584445
27,0.4088085799731326
28,0.36091217217367716
29,0.3207011815379755
30,0.2878637357726468
31,0.26216233619114654
32,0.24342149677372835
33,0.2315181142149472
34,0.22637372748085907
35,0.227948128534965
36,0.2362339619631634
37,0.25125205841902115
38,0.2730473134067828
39,0.3016849633862204
40,0.33724713312660237
41,0.3798295356761744
42,0.42953820130213716
43,0.48648609529114945
44,0.5507894570175857
45,0.6225636544415423
46,0.7019182995403024
47,0.7889513120080014
48,0.8837415532894064
49,0.9863395868452993
50,1.096756069735943
51,1.2149472877301881
52,1.3407975258456828
53,1.4740986376657952
54,1.6145292759540724
55,1.7616427206119505
56,1.9148932816300088
57,2.0738067549100014
58,2.238713722120803
59,2.4140559208517143
60,2.626783817853025
61,3.046621443097009
62,3.6175477271233683
63,3.4068403316659186
64,3.3662229117502065
65,3.3944202371114676
66,3.4172910054021735
67,3.4071713712254867
68,3.3571242015638156
69,3.2850773578649846
70,3.2301358703762806
71,3.2112792270310417
72,3.23527018932672
73,3.54081837548852
74,5.2205586185032065
75,10.053175357381708
76,14.864760263804172
77,17.19853064029764
78,18.20326225939051
79,18.614125012560887
80,18.716132369628856
81,18.324320744683817
82,18.09234540865687
83,17.952199202140203
84,17.93724856167335
85,18.29276676536106
86,18.321673034269924
87,18.086830371010933
88,17.96724564625854
89,17.872609064209204
90,18.643235021588534
91,18.38353281088497
92,18.230088213143944
93,18.074329302585223
94,17.941555553600388
95,18.295975154627847
96,17.994944884364855
97,17.896708200166938
98,17.8609874309441
99,17.92910219915927
