,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-2.598816887841861,-2.6551880433973554,-2.709987443749057,-2.763104695141571,-2.8144373874171382,-2.863890395033345,-2.911375291086222,-2.9568098557885203,-3.0001176639440503,-3.0412277385483164,-3.080074259805761,-3.11659632064848,-3.1507377213323937,-3.182446796922496,-3.211676272506834,-3.238383141832535,-3.2625285657703222,-3.2840777876097595,-3.3030000626887297,-3.319268600283825,-3.3328605160484117,-3.3437567935937715,-3.3519422540762647,-3.3574055328880563,-3.3601390627578778,-3.3601390627578773,-3.357405532888056,-3.351942254076258,-3.3437567935937715,-3.3328605160484113,-3.3192686002838236,-3.303000062688728,-3.284077787609758,-3.2625285657703222,-3.2383831418325344,-3.211676272506834,-3.182446796922503,-3.1507377213323946,-3.1165963206484797,-3.080074259805756,-3.0412277385483137,-3.0001176639440392,-2.9568098557885203,-2.9113752910862205,-2.863890395033345,-2.8144373874171325,-2.763104695141572,-2.7099874437490516,-2.655188043397349,-2.598816887841861
1,-2.59881688784186,-2.6548564835212143,-2.7096535836739513,-2.7627684854036847,-2.814098801917527,-2.8635494291121053,-2.911031959739769,-2.956464192020714,-2.9997697172406146,-3.040877573463511,-3.0797219546504038,-3.116241966268957,-3.1503814199706635,-3.182088661148159,-3.2113164242126637,-3.238021711286022,-3.2621656907140215,-3.283713612404247,-3.3026347374922733,-3.318902280263528,-3.3324933606179394,-3.3433889656732134,-3.3515739193699576,-3.357036859176478,-3.3597702191999073,-3.3597702191999077,-3.357036859176476,-3.351573919369954,-3.3433889656732134,-3.332493360617938,-3.318902280263526,-3.3026347374922724,-3.283713612404244,-3.2621656907140215,-3.238021711286021,-3.2113164242126637,-3.1820886611481614,-3.1503814199706652,-3.1162419662689484,-3.0797219546504047,-3.0408775734635096,-2.9997697172406115,-2.956464192020714,-2.911031959739775,-2.8635494291121053,-2.8140988019175235,-2.762768485403684,-2.709653583673947,-2.6548564835212107,-2.59881688784186
2,-2.5984875532602647,-2.6543039549445537,-2.709097219702672,-2.7622082036726385,-2.8135345590058543,-2.862981217332466,-2.9104598041662926,-2.955888147740339,-2.9991898668099304,-3.040294024552952,-3.0791348378573424,-3.1156514330825904,-3.1497876408719563,-3.181491823829876,-3.2107167319053134,-3.2374193811770327,-3.2615609524484106,-3.2831067066562536,-3.302025914598233,-3.3182917989071736,-3.3318814865600412,-3.342775970518086,-3.350960079361942,-3.3564224540198655,-3.359155530896118,-3.3591555308961243,-3.3564224540198673,-3.3509600793619505,-3.342775970518086,-3.3318814865600346,-3.318291798907174,-3.302025914598232,-3.2831067066562545,-3.2615609524484106,-3.2374193811770327,-3.2107167319053134,-3.1814918238298797,-3.1497876408719545,-3.115651433082577,-3.0791348378573415,-3.040294024552952,-2.99918986680993,-2.955888147740339,-2.910459804166299,-2.862981217332466,-2.8135345590058534,-2.762208203672642,-2.7090972197026724,-2.6543039549445546,-2.5984875532602647
3,-2.5984875532602647,-2.6535305645092055,-2.7083184560801663,-2.76142395170845,-2.8127447580735088,-2.8621858568360854,-2.9096589193780993,-2.9550818159511985,-2.9983782037680404,-3.039477181164986,-3.078312997126386,-3.1148248072585933,-3.1489564687915665,-3.1806563684242724,-3.2098772778566054,-3.23657623270507,-3.2607144312119023,-3.282257149753129,-3.301173672651794,-3.317437234225694,-3.3310249713584352,-3.3419178851912363,-3.350100810799948,-3.355562393956076,-3.3582950742795203,-3.3582950742795226,-3.355562393956077,-3.3501008107999453,-3.3419178851912363,-3.3310249713584312,-3.3174372342256935,-3.301173672651794,-3.282257149753128,-3.2607144312119023,-3.2365762327050676,-3.2098772778566054,-3.180656368424274,-3.14895646879157,-3.1148248072586084,-3.0783129971263845,-3.039477181164984,-2.9983782037680466,-2.9550818159511985,-2.9096589193781037,-2.8621858568360854,-2.8127447580735114,-2.761423951708448,-2.708318456080161,-2.6535305645092047,-2.5984875532602647
4,-2.5979387353078067,-2.6525364618267804,-2.707317438777516,-2.7604158719989824,-2.8117295382882337,-2.861163483637421,-2.908629438405165,-2.954045326868292,-2.9973348556842816,-3.038427168391647,-3.077256555239307,-3.1137622094338546,-3.1478880223849424,-3.17958241176693,-3.208798177241815,-3.2354923795428454,-3.259626239330497,-3.281165052828302,-3.3000781217464272,-3.316338695423818,-3.3299239234791234,-3.340814817568914,-3.3489962211186013,-3.3544567861257364,-3.3571889563438244,-3.3571889563438244,-3.354456786125737,-3.348996221118594,-3.340814817568914,-3.329923923479122,-3.316338695423816,-3.300078121746426,-3.2811650528283005,-3.259626239330497,-3.2354923795428463,-3.208798177241815,-3.1795824117669262,-3.1478880223849446,-3.113762209433856,-3.077256555239308,-3.038427168391644,-2.9973348556842896,-2.954045326868292,-2.9086294384051667,-2.861163483637421,-2.8117295382882364,-2.7604158719989838,-2.707317438777514,-2.6525364618267795,-2.5979387353078067
5,-2.5979387353078014,-2.6513218393117617,-2.7060943555203316,-2.7591841477837957,-2.810489078613985,-2.8599142726399096,-2.9073715323079816,-2.9527788479276453,-2.9960599865882678,-3.0371441470731204,-3.075965670061983,-3.1124637947128866,-3.1465824542057685,-3.1782701040687353,-3.2074795781345737,-3.2341679678297215,-3.2582965212099584,-3.2798305587524155,-3.298739403414105,-3.314996322889515,-3.3285784823591795,-3.3394669063290654,-3.347646448427465,-3.353105768259908,-3.3558373146309806,-3.3558373146309797,-3.3531057682599092,-3.3476464484274713,-3.3394669063290654,-3.3285784823591764,-3.3149963228895123,-3.2987394034141,-3.279830558752412,-3.2582965212099584,-3.2341679678297233,-3.2074795781345737,-3.1782701040687438,-3.146582454205762,-3.112463794712875,-3.0759656700619877,-3.0371441470731146,-2.9960599865882656,-2.9527788479276453,-2.9073715323079665,-2.8599142726399096,-2.8104890786139904,-2.7591841477837966,-2.706094355520326,-2.651321839311759,-2.5979387353078014
6,-2.5971705435288874,-2.6498869322242524,-2.704649435825163,-2.757729003084988,-2.8090235978365765,-2.8584384376568504,-2.905885410194113,-2.95128258379883,-2.994553796978898,-3.035628313803431,-3.074440534547057,-3.1109297526677864,-3.145039950703527,-3.1767196289112944,-3.2059216615001733,-3.2326031761632845,-3.256725453325825,-3.27825384212194,-3.297157690612732,-3.3134102881804166,-3.326988818392317,-3.337874320936267,-3.346051661495417,-3.3515095086641917,-3.3542403172151243,-3.354240317215124,-3.3515095086641913,-3.3460516614954194,-3.337874320936267,-3.3269888183923157,-3.3134102881804153,-3.2971576906127313,-3.2782538421219405,-3.256725453325825,-3.232603176163283,-3.2059216615001733,-3.176719628911299,-3.145039950703527,-3.1109297526677957,-3.074440534547059,-3.035628313803425,-2.9945537969789027,-2.95128258379883,-2.9058854101941196,-2.8584384376568504,-2.809023597836573,-2.757729003084986,-2.7046494358251705,-2.649886932224259,-2.5971705435288874
7,-2.5971705435288874,-2.648232018722408,-2.7029829510444037,-2.756050702745026,-2.807333354595104,-2.856736231437095,-2.9041713192385816,-2.9495567764005726,-2.9928165238355,-3.033879900937455,-3.07268137673737,-3.1091603073384517,-3.1432607322205532,-3.174931203241155,-3.2041246411874575,-3.2307982155890413,-3.254913244211229,-3.2764351092453188,-3.2953331877108316,-3.3115807940072606,-3.3251551329113553,-3.336037261623321,-3.34421205973162,-3.349668206199324,-3.352398162682975,-3.352398162682975,-3.349668206199324,-3.344212059731612,-3.336037261623321,-3.325155132911353,-3.3115807940072606,-3.29533318771083,-3.27643510924532,-3.254913244211229,-3.2307982155890396,-3.2041246411874575,-3.174931203241154,-3.143260732220554,-3.1091603073384424,-3.072681376737371,-3.033879900937454,-2.9928165238355002,-2.9495567764005726,-2.904171319238602,-2.856736231437095,-2.8073333545950936,-2.756050702745025,-2.702982951044407,-2.6482320187224064,-2.5971705435288874
8,-2.5961831313240085,-2.6463574199246764,-2.701095214419419,-2.7541495524717066,-2.8054186474194087,-2.8548079456955007,-2.9022295447080433,-2.94760170491915,-2.9908484406309634,-3.03189917659952,-3.070688459770102,-3.107155717232576,-3.141245052988623,-3.172905077363282,-3.2020887639193334,-3.228753329588366,-3.252860134442491,-3.274374598126567,-3.2932661304694144,-3.309508074214309,-3.3230776581673966,-3.333955959369524,-3.3421278731630957,-3.3475820902582654,-3.350311080110679,-3.350311080110684,-3.3475820902582685,-3.3421278731631014,-3.333955959369524,-3.3230776581673935,-3.30950807421431,-3.2932661304694095,-3.2743745981265646,-3.252860134442491,-3.228753329588369,-3.2020887639193334,-3.1729050773632914,-3.14124505298863,-3.1071557172325748,-3.070688459770093,-3.031899176599501,-2.9908484406309723,-2.94760170491915,-2.9022295447080446,-2.8548079456955007,-2.805418647419402,-2.7541495524717057,-2.701095214419416,-2.646357419924673,-2.5961831313240085
9,-2.5961831313240027,-2.6442634999821335,-2.698986581142326,-2.7520258988903543,-2.803279814773541,-2.8526539111484572,-2.900060409988976,-2.945417685829968,-2.988649857347292,-3.0296864446931346,-3.0684620818816266,-3.1049162753261124,-3.138993201125175,-3.1706415349334733,-3.199814309281869,-3.226468794064604,-3.2505663966226055,-3.272072578446427,-3.290956786021139,-3.3071923937568104,-3.320756657305893,-3.331630675875618,-3.339799362408872,-3.3452514207397557,-3.347979329037104,-3.3479793290371043,-3.3452514207397557,-3.3397993624088813,-3.331630675875618,-3.3207566573058918,-3.30719239375681,-3.2909567860211397,-3.272072578446426,-3.2505663966226055,-3.226468794064603,-3.199814309281869,-3.1706415349334636,-3.1389932011251758,-3.1049162753261226,-3.068462081881616,-3.0296864446931364,-2.9886498573472937,-2.945417685829968,-2.9000604099889724,-2.8526539111484572,-2.803279814773537,-2.7520258988903548,-2.698986581142326,-2.6442634999821304,-2.5961831313240027
