,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-2.405652720100841,-2.4620699582656353,-2.5169112422038418,-2.5700665797411832,-2.621433916736928,-2.670918443042628,-2.7184320110356692,-2.7638926481596617,-2.807224148021326,-2.8483557271987032,-2.887221737082809,-2.923761421873314,-2.9579187153388204,-2.9896420701877426,-3.0188843149199602,-3.0456025338812047,-3.0697579669513395,-3.0913159258909166,-3.1102457248686295,-3.1265206231126723,-3.14011777798678,-3.151018207098027,-3.159206758308948,-3.164672086759364,-3.167406638210238,-3.1674066382102226,-3.1646720867593747,-3.159206758308954,-3.151018207098027,-3.1401177779867804,-3.1265206231126728,-3.1102457248686304,-3.0913159258909197,-3.0697579669513395,-3.0456025338812074,-3.0188843149199602,-2.989642070187745,-2.957918715338824,-2.923761421873312,-2.887221737082809,-2.8483557271987023,-2.8072241480213282,-2.7638926481596617,-2.7184320110356683,-2.670918443042628,-2.621433916736929,-2.5700665797411837,-2.5169112422038435,-2.462069958265637,-2.405652720100841
1,-2.405652720100839,-2.4617381364962245,-2.516577135149458,-2.5697301362800595,-2.6210951093206174,-2.6705772657385554,-2.7180884777179704,-2.763546790838163,-2.806876015297313,-2.848005382835854,-2.8868692586819296,-2.923406899639961,-2.9575622509336807,-2.989283775650341,-3.0185243116570835,-3.045240951712158,-3.0693949432029157,-3.0909516045355527,-3.1098802556998657,-3.1261541609524985,-3.1397504819199504,-3.1506502397288028,-3.1588382850360457,-3.1643032750651408,-3.167037656960369,-3.1670376569603627,-3.1643032750651434,-3.1588382850360524,-3.1506502397288028,-3.139750481919948,-3.126154160952499,-3.1098802556998684,-3.0909516045355576,-3.0693949432029157,-3.0452409517121604,-3.0185243116570835,-2.9892837756503456,-2.957562250933684,-2.9234068996399594,-2.886869258681931,-2.848005382835855,-2.8068760152973136,-2.763546790838163,-2.7180884777179704,-2.6705772657385554,-2.6210951093206196,-2.5697301362800595,-2.5165771351494604,-2.461738136496226,-2.405652720100839
2,-2.405323106807729,-2.4611851712535997,-2.5160203593806356,-2.5691694648551073,-2.6205304964015417,-2.670008701515769,-2.7175159853942334,-2.7629704238428543,-2.8062958547122663,-2.8474215350132326,-2.8862818530352095,-2.922816086589819,-2.9569681999918824,-2.9886866736258044,-3.0179243609699693,-3.0446383688026155,-3.068789957022725,-3.0903444551118104,-3.1092711927607617,-3.125543442606345,-3.1391383733791134,-3.150037012071016,-3.1582242139960934,-3.1636886398501853,-3.1664227390830044,-3.166422739083,-3.163688639850185,-3.1582242139960854,-3.150037012071016,-3.139138373379108,-3.125543442606348,-3.1092711927607635,-3.090344455111809,-3.068789957022725,-3.044638368802613,-3.0179243609699693,-2.988686673625817,-2.956968199991891,-2.922816086589822,-2.8862818530352143,-2.8474215350132304,-2.806295854712259,-2.7629704238428543,-2.717515985394231,-2.670008701515769,-2.620530496401541,-2.5691694648551104,-2.5160203593806396,-2.4611851712536,-2.405323106807729
3,-2.40532310680772,-2.4604111691136668,-2.51524101889404,-2.5683846669934245,-2.619740177151564,-2.66921284730819,-2.7167146288793274,-2.762163639989219,-2.805483757201946,-2.8466042729060654,-2.885459607675672,-2.921989068730951,-2.956136647112465,-2.9878508474188887,-3.017084544982408,-3.04379486620744,-3.0679430885075214,-3.0894945568679133,-3.1084186145595663,-3.124688545950034,-3.1382815297143734,-3.149178601055063,-3.1573646218051654,-3.162828257521395,-3.1655619608805043,-3.1655619608804972,-3.1628282575214053,-3.157364621805179,-3.149178601055063,-3.138281529714371,-3.1246885459500358,-3.1084186145595676,-3.089494556867915,-3.0679430885075214,-3.043794866207442,-3.017084544982408,-2.9878508474188927,-2.9561366471124666,-2.9219890687309475,-2.8854596076756724,-2.8466042729060654,-2.8054837572019458,-2.762163639989219,-2.7167146288793247,-2.66921284730819,-2.6197401771515634,-2.5683846669934227,-2.515241018894043,-2.460411169113667,-2.40532310680772
4,-2.4047738241452903,-2.459416279315324,-2.5142392593128147,-2.5673758848564305,-2.6187242904307912,-2.6681898388390946,-2.7156845409265524,-2.7611265692283737,-2.8044398500830905,-2.8455537213637867,-2.8844026451513254,-2.9209259664742735,-2.9550677107319037,-2.9867764136523194,-3.0160049786622753,-3.0427105573966813,-3.0668544497847443,-3.0884020207423117,-3.107322630997807,-3.1235895799989204,-3.1371800592044585,-3.14807511437158,-3.156259615713592,-3.1617222350357803,-3.164455429163344,-3.16445542916334,-3.161722235035794,-3.156259615713606,-3.14807511437158,-3.1371800592044554,-3.123589579998921,-3.1073226309978104,-3.088402020742315,-3.0668544497847443,-3.0427105573966835,-3.0160049786622753,-2.9867764136523234,-2.9550677107319068,-2.9209259664742713,-2.8844026451513263,-2.8455537213637876,-2.8044398500830905,-2.7611265692283737,-2.7156845409265524,-2.6681898388390946,-2.618724290430793,-2.567375884856431,-2.5142392593128178,-2.4594162793153234,-2.4047738241452903
5,-2.4047738241452885,-2.4582006937932346,-2.5130152679145805,-2.5661433012634167,-2.617483014807084,-2.6669398506370317,-2.714425892240166,-2.7598593786565284,-2.803164297060063,-2.8442700409141786,-2.8831111230270343,-2.9196269346333956,-2.9537615431219324,-2.985463522262945,-3.014685809816093,-3.041385588248695,-3.0655241850044868,-3.087066989354574,-3.1059833833603254,-3.1222466848971258,-3.1358341010452735,-3.146726690459486,-3.1549093335934755,-3.160370709888011,-3.1631032812375954,-3.1631032812375977,-3.160370709888016,-3.1549093335934795,-3.146726690459486,-3.135834101045271,-3.1222466848971235,-3.105983383360322,-3.0870669893545815,-3.0655241850044868,-3.0413855882487004,-3.014685809816093,-2.985463522262947,-2.9537615431219346,-2.9196269346333925,-2.8831111230270365,-2.844270040914178,-2.803164297060063,-2.7598593786565284,-2.7144258922401656,-2.6669398506370317,-2.61748301480709,-2.5661433012634105,-2.5130152679145774,-2.458200693793233,-2.4047738241452885
6,-2.4040049813716102,-2.456764647220048,-2.5115692736674484,-2.564687139721915,-2.616016568581305,-2.6654630960563175,-2.712938891491568,-2.758362272527234,-2.8016572982335193,-2.842753427768736,-2.8815852338868972,-2.918092162424266,-2.9522183303867626,-2.983912356496755,-3.013127219082073,-3.039820137041466,-3.0639524703292125,-3.0854896369937372,-3.104401044302372,-3.1206600319036686,-3.1342438253352496,-3.1451334984906465,-3.1533139439228464,-3.158773850094196,-3.1615056848885685,-3.161505684888555,-3.1587738500942057,-3.153313943922852,-3.1451334984906465,-3.134243825335248,-3.1206600319036712,-3.104401044302373,-3.0854896369937377,-3.0639524703292125,-3.039820137041468,-3.013127219082073,-2.983912356496755,-2.952218330386763,-2.9180921624242635,-2.881585233886899,-2.842753427768737,-2.80165729823352,-2.758362272527234,-2.712938891491571,-2.6654630960563175,-2.6160165685813066,-2.5646871397219178,-2.511569273667446,-2.4567646472200506,-2.4040049813716102
7,-2.4040049813716076,-2.45510841705826,-2.509901547274286,-2.5630076644650455,-2.6143252098182517,-2.6637598273021843,-2.7112237853392016,-2.7566354922664624,-2.7999190901110915,-2.841004113829347,-2.8798252053372444,-2.916321873464835,-2.9504382924598027,-2.982123132902833,-3.0113294199216716,-3.0380144144419634,-3.06213951392121,-3.083670169604058,-3.102575817834001,-3.1188298233755885,-3.132409433057393,-3.1432957383511555,-3.1514736457664903,-3.15693185417215,-3.1596628383607754,-3.1596628383607643,-3.15693185417216,-3.1514736457664942,-3.1432957383511555,-3.132409433057393,-3.1188298233755907,-3.102575817834002,-3.08367016960406,-3.06213951392121,-3.038014414441966,-3.0113294199216716,-2.982123132902833,-2.950438292459802,-2.916321873464833,-2.8798252053372453,-2.8410041138293454,-2.799919090111093,-2.7566354922664624,-2.7112237853392007,-2.6637598273021843,-2.6143252098182517,-2.5630076644650477,-2.509901547274289,-2.4551084170582627,-2.4040049813716076
8,-2.4030167314858732,-2.4532323236217652,-2.5080124012252734,-2.561105180495808,-2.612409236383503,-2.6618303354607793,-2.7092808584522117,-2.754679316490547,-2.79794994562008,-2.8390223666962355,-2.877831300010281,-2.914316325774795,-2.9484216830997645,-2.980096101326318,-3.0092926586096294,-3.03596866349363,-3.060085555927802,-3.0816088247682485,-3.1005079393014947,-3.1167562927479366,-3.1303311560581255,-3.141213640619185,-3.149388668752952,-3.1548449511180943,-3.157574970334505,-3.1575749703345126,-3.1548449511181027,-3.1493886687529637,-3.141213640619185,-3.1303311560581184,-3.1167562927479358,-3.1005079393014925,-3.0816088247682507,-3.060085555927802,-3.035968663493632,-3.0092926586096294,-2.980096101326316,-2.948421683099773,-2.9143163257747915,-2.877831300010281,-2.839022366696234,-2.7979499456200863,-2.754679316490547,-2.709280858452207,-2.6618303354607793,-2.6124092363834985,-2.561105180495817,-2.508012401225277,-2.4532323236217657,-2.4030167314858732
9,-2.403016731485858,-2.4511367301473066,-2.505902189858883,-2.55898003363858,-2.6102689859861736,-2.6596749505338972,-2.7071104335380185,-2.7524940610271074,-2.7957501741223454,-2.8368084896773142,-2.8756038155684083,-2.9120758117753462,-2.946168789886354,-2.977831544900307,-3.0070172142225617,-3.0336831596019707,-3.057790868464274,-3.079305871688119,-3.0981976753660434,-3.1144397045107755,-3.1280092570228435,-3.138887466539475,-3.147059273048257,-3.15251340037975,-3.155242339898625,-3.1552423398986273,-3.152513400379762,-3.147059273048268,-3.138887466539475,-3.1280092570228435,-3.114439704510778,-3.098197675366043,-3.0793058716881236,-3.057790868464274,-3.0336831596019724,-3.0070172142225617,-2.9778315449003108,-2.9461687898863547,-2.912075811775346,-2.875603815568409,-2.836808489677311,-2.795750174122346,-2.7524940610271074,-2.707110433538019,-2.6596749505338972,-2.610268985986173,-2.5589800336385786,-2.5059021898588836,-2.451136730147309,-2.403016731485858
